Sample_Ide,Easting,Northing,Auppb,Ptppb,Pdppb
554881,249381,331856,1.7920192,0.6781024,0.3919159
554882,248601,340790,1.4550976,1.3601188,0.4801772
554883,243254,337705,1.7427136,-0.4386496,0.4186918
554884,242388,338273,1.1140672,0.365013,0.2431609
554885,260247,356462,1.9676704,1.6771966,0.2778704
554886,251263,335796,1.1407744,3.3313855,0.0706051
554887,248753,334546,1.713952,0.7528849,-0.0543491
554888,253693,335654,1.3010176,0.9253832,0.3135716
554889,247352,337507,1.349296,0.5953431,-0.2705397
554890,248229,324703,1.6708096,1.7679327,0.3115882
554891,247298,321456,2.78224,3.4480462,1.2596534
554892,246060,340321,1.7612032,-0.2222789,0.513895
554893,253462,333612,1.2815008,0.315158,-0.2110377
554894,250307,332379,1.3225888,0.6083054,0.4087748
554895,246357,322375,1.1325568,-0.7108579,0.1915925
554896,248563,338398,1.205488,-9.1323645,-0.1039341
554897,245481,339482,1.3421056,0.83365,0.3611732
554898,246438,336276,1.174672,0.1446539,0.0358956
554899,246508,326509,1.3071808,0.5135809,0.1112648
554900,252324,338307,0.9199264,-0.173421,-0.2031041
554901,248469,328832,2.607616,0.1665901,0.176717
554902,232547,332586,17.0942176,0.8057312,0.6953761
554903,238397,336605,1.3688128,1.9284658,-0.011706
554904,242178,328531,1.3308064,1.3531391,-0.0454238
554905,242384,340928,1.2167872,0.8396326,-0.0255898
554906,243608,323684,1.6482112,1.1597017,0.3810072
554907,236264,336507,1.431472,0.3440739,0.0904391
554908,233536,331351,8.8499104,0.8446181,0.3879491
554909,237375,325206,2.022112,0.7947631,0.4930693
554910,235120,321754,1.4078464,0.1486423,0.2421692
554911,247306,331275,1.26712,1.0310758,0.0914308
554912,231311,335394,1.9460992,0.504607,0.1697751
554913,241333,339871,1.534192,1.8586688,0.3720819
554914,245653,331614,1.7231968,-0.5214089,0.5208369
554915,240747,322186,1.3626496,1.481765,0.087464
554916,233445,323121,1.2948544,0.7827979,0.0725885
554917,242848,326139,1.6636192,0.853592,0.1668
554918,242786,324602,2.0436832,0.0269961,0.6834757
554919,234241,332391,2.0929888,2.2216132,0.8669402
554920,235978,323352,2.2347424,1.7120951,0.6606666
554921,246238,328763,1.1058496,0.6651401,0.1340739
554922,240460,340596,1.1859712,-0.4615829,0.1231652
554923,232484,320475,1.0914688,-0.6889217,0.1211818
554924,245391,329366,1.236304,0.1735698,0.1489494
554925,244778,324511,19.88512,1.3491507,1.1862676
554926,240701,324623,2.4165568,2.7341226,0.7687619
554927,249706,329303,2.3241088,2.5406852,0.5585215
554928,234682,336539,1.5013216,1.8068196,0.6596749
554929,244378,320155,1.313344,1.0300787,0.2788621
554930,237207,337487,1.8803584,2.8517804,0.7370275
554931,236614,324439,2.1022336,1.4628201,0.1985344
